,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,13,2021,Rangers,C,2063,1458,12819.0,4273,1462,83,39,43,330,149,97,148,2,74,17,7,67,0.986,,2,-4,14,11,39,86,2015,1618,0.803,692,,,13.3,-1.5,16.7,4.9,33.4,6.1,,,71.6,,,,,,,,,,,,,13,0,17,16.7
1,28,2021,Cardinals,1B,2178,1458,12753.0,4251,1514,84,40,41,314,142,102,142,3,43,23,7,66,0.986,,3,-7,8,4,60,81,1954,1657,0.848,613,,,3.2,-6.6,21.6,12.8,31.0,4.0,,,43.1,,,,,,,,,,,,,-6,3,11,-7.9
2,21,2021,Astros,LF,2118,1458,13005.0,4335,1432,69,27,40,301,127,96,126,2,56,26,11,72,0.988,,1,-2,1,5,57,76,1837,1498,0.815,687,,,0.5,-1.3,18.2,2.7,20.1,2.8,,,37.0,,,,,,,,,,,,,-5,-4,16,0.8
3,12,2021,Rays,P,2255,1458,13101.0,4367,1358,80,34,43,310,132,95,131,6,69,22,14,64,0.986,,2,4,0,-5,45,72,1882,1535,0.816,630,,,0.4,2.0,17.7,-5.6,14.4,2.4,,,34.7,,,,,,,,,,,,,14,2,18,5.1
4,7,2021,Royals,CF,2202,1458,12756.0,4252,1422,84,44,39,366,154,111,154,5,41,24,4,86,0.985,,4,3,3,10,-4,23,1919,1522,0.793,645,,,3.6,5.7,7.0,5.8,22.1,3.4,,,34.2,,,,,,,,,,,,,-7,2,11,-17.3
5,25,2021,Mets,2B,2240,1458,12414.0,4138,1312,95,41,52,290,121,79,121,5,66,33,12,53,0.983,,6,1,0,2,-1,48,1662,1319,0.794,633,,,3.2,0.1,-5.9,-9.9,-12.6,-1.6,,,30.0,,,,,,,,,,,,,7,-2,32,2.2
6,20,2021,Marlins,P,2254,1458,12735.0,4245,1444,122,70,50,350,146,113,146,1,61,23,28,58,0.979,,2,7,16,-13,25,55,1825,1478,0.81,633,,,15.0,4.2,-2.8,-15.6,0.7,3.4,,,18.6,,,,,,,,,,,,,4,1,13,1.7
7,30,2021,Giants,P,2478,1458,13095.0,4365,1471,80,48,32,302,122,92,122,2,53,20,6,44,0.986,,-2,-3,-3,3,1,32,1916,1541,0.804,662,,,-0.8,-4.6,4.8,1.4,0.8,-0.5,,,17.4,,,,,,,,,,,,,1,-5,34,5.5
8,5,2021,Cleveland,P,2142,1458,12672.0,4224,1399,86,52,33,352,138,111,138,5,63,23,11,52,0.985,,0,0,-3,-8,8,2,1875,1551,0.827,565,,,-3.1,4.9,-1.1,12.6,13.4,1.2,,,17.1,,,,,,,,,,,,,0,1,3,2.2
9,19,2021,Rockies,1B,2192,1449,12573.0,4191,1516,73,38,35,365,140,119,141,5,65,27,14,67,0.987,,4,-1,5,3,45,61,1955,1601,0.819,586,,,8.0,-0.4,14.0,21.4,43.0,6.2,,,14.2,,,,,,,,,,,,,-1,0,5,0.7
10,16,2021,Braves,P,2201,1449,12696.0,4232,1483,71,32,37,274,104,82,104,5,74,23,18,73,0.988,,-3,-1,3,0,17,50,1774,1463,0.825,635,,,5.6,0.1,-11.0,0.8,-4.5,0.0,,,9.2,,,,,,,,,,,,,-1,-1,37,-0.4
11,10,2021,Athletics,P,2166,1458,12897.0,4299,1320,72,35,36,285,118,85,118,3,65,22,6,63,0.987,,3,-2,-10,-5,-10,-10,1917,1548,0.808,637,,,-5.5,-2.7,-3.9,14.1,2.0,-1.0,,,9.0,,,,,,,,,,,,,5,2,5,9.0
12,29,2021,Padres,P,2273,1458,12870.0,4290,1399,82,41,41,349,139,109,140,5,88,18,11,57,0.986,,-5,6,-2,7,14,16,1805,1490,0.825,584,,,-5.6,3.9,-16.6,6.0,-12.3,-2.4,,,1.5,,,,,,,,,,,,,-5,-2,9,-2.7
13,14,2021,Blue Jays,CF,2255,1458,12648.0,4216,1371,90,43,46,306,123,91,122,9,73,22,6,54,0.984,,0,-1,8,3,15,22,1835,1497,0.816,562,,,10.4,1.5,7.4,-6.0,13.3,4.0,,,-0.9,,,,,,,,,,,,,-2,-1,4,5.0
14,8,2021,Twins,P,2233,1458,12774.0,4258,1421,107,56,51,320,140,99,140,7,80,26,13,48,0.982,,-4,3,2,10,-1,32,1931,1569,0.813,641,,,-1.6,0.2,4.9,-25.1,-21.7,-4.3,,,-1.6,,,,,,,,,,,,,10,-1,16,5.9
15,17,2021,Cubs,2B,2335,1458,12714.0,4238,1554,87,48,37,366,150,118,151,5,93,21,10,60,0.985,,-3,6,-3,1,12,29,1840,1474,0.801,646,,,-5.8,3.5,-3.7,8.5,2.4,-0.4,,,-2.5,,,,,,,,,,,,,-5,6,18,-4.3
16,26,2021,Phillies,P,2247,1458,12768.0,4256,1439,94,52,41,353,143,110,143,1,51,15,11,49,0.984,,-2,1,5,-2,-50,-54,1867,1484,0.795,494,,,2.1,4.8,-17.8,3.8,-7.2,-0.2,,,-7.3,,,,,,,,,,,,,-2,-1,-4,6.2
17,11,2021,Mariners,1B,2181,1458,12963.0,4321,1383,79,43,33,344,136,113,136,0,91,17,12,58,0.986,,0,6,-6,-5,6,-1,1928,1547,0.802,696,,,-7.7,6.9,-14.3,1.6,-13.5,-2.5,,,-8.8,,,,,,,,,,,,,-1,0,1,-4.8
