,IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
7,1009321,1936,Van Mungo,BRO,25,18,19,6.9,3.35,45,37,22,2,3,,311.2,1313,275,137,116,8,118,,3,10,0,238,,,,,,,,,,,,6.87,3.41,2.02,7.94,0.23,0.231,1.26,0.282,0.6729999999999999,3.24,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,75,,0.18100000000000002,0.09,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.7,-1.6,-0.9,25 - 25,0.091,,,,,,,3.4,0.27699999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,118,171,80,47,84,89,97,101,209,122,,,,,,,,,,,,,,,,,,0,,,
4,1003106,1936,Dizzy Dean,STL,26,24,13,6.6,3.17,51,34,28,2,11,,315.0,1303,310,128,111,21,53,,3,4,0,195,,,,,,,,,,,,5.57,1.51,3.68,8.86,0.6,0.249,1.15,0.28,0.7070000000000001,3.43,,,,,,,,,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,77,,0.15,0.040999999999999995,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.9,0.0,0.9,26 - 26,0.109,,,,,,,3.19,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,53,312,90,122,91,81,96,106,172,55,,,,,,,,,,,,,,,,,,0,,,
9,1000150,1936,Johnny Allen,CLE,31,20,10,6.3,3.44,36,31,19,4,1,,243.0,1030,234,108,93,5,97,,1,13,0,165,,,,,,,,,,,,6.11,3.59,1.7,8.67,0.19,0.251,1.36,0.301,0.6890000000000001,3.38,,,,,,,,,,,,,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,72,,0.16,0.094,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.7,0.7,31 - 31,0.066,,,,,,,3.71,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,90,205,83,30,88,85,100,107,196,96,,,,,,,,,,,,,,,,,,0,,,
1,1005099,1936,Lefty Grove,BOS,36,17,12,6.0,2.81,35,30,22,6,2,,253.1,1049,237,90,79,14,65,,4,0,0,130,,,,,,,,,,,,4.62,2.31,2.0,8.42,0.5,0.242,1.19,0.267,0.754,3.77,,,,,,,,,,,,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,77,,0.124,0.062,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,2.2,2.0,4.2,36 - 36,0.062,,,,,,,3.76,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,58,241,81,80,85,74,89,117,152,63,,,,,,,,,,,,,,,,,,0,,,
0,1006123,1936,Carl Hubbell,NYG,33,26,6,5.9,2.31,42,34,25,3,3,,304.0,1202,265,81,78,7,57,,5,3,0,123,,,,,,,,,,,,3.64,1.69,2.16,7.85,0.21,0.232,1.06,0.255,0.7759999999999999,3.37,,,,,,,,,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,80,,0.102,0.047,,,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.3,2.7,6.0,33 - 33,0.055,,,,,,,3.84,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,59,183,79,42,85,75,88,116,118,64,,,,,,,,,,,,,,,,,,0,,,
31,1004010,1936,Wes Ferrell,BOS,28,20,15,5.6,4.19,39,38,28,3,0,,301.0,1341,330,160,140,11,119,,6,3,0,106,,,,,,,,,,,,3.17,3.56,0.89,9.87,0.33,0.271,1.49,0.29,0.6709999999999999,4.28,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,86,,0.079,0.08900000000000001,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,0.8,0.4,1.2,28 - 28,-0.01,,,,,,,4.62,0.17600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,89,107,95,53,95,93,97,104,97,90,,,,,,,,,,,,,,,,,,0,,,
28,1003224,1936,Paul Derringer,CIN,29,19,19,5.2,4.02,51,37,13,2,5,,282.1,1207,331,147,126,11,42,,4,6,2,121,,,,,,,,,,,,3.86,1.34,2.88,10.55,0.35,0.285,1.32,0.311,0.636,3.4,,,,,,,,,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,82,,0.1,0.035,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,-1.8,-0.9,-2.7,29 - 29,0.065,,,,,,,3.72,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,46,244,107,71,104,93,107,95,116,47,,,,,,,,,,,,,,,,,,0,,,
17,1001421,1936,Tommy Bridges,DET,29,23,11,4.9,3.6,39,38,26,5,0,,294.2,1272,289,141,118,21,115,,5,6,1,175,,,,,,,,,,,,5.35,3.51,1.52,8.83,0.64,0.251,1.37,0.28,0.706,4.22,,,,,,,,,,,,,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,89,,0.138,0.09,,,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.5,1.1,2.6,29 - 29,0.047,,,,,,,3.93,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,88,183,85,103,88,86,93,110,169,92,,,,,,,,,,,,,,,,,,0,,,
39,1011259,1936,Schoolboy Rowe,DET,26,19,10,4.8,4.51,41,35,19,4,3,,245.1,1046,266,134,123,15,64,,2,5,1,115,,,,,,,,,,,,4.22,2.35,1.8,9.76,0.55,0.271,1.35,0.295,0.637,3.93,,,,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,83,,0.11,0.061,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.3,-0.6,-0.3,26 - 26,0.049,,,,,,,3.92,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,59,216,94,88,95,84,98,99,135,62,,,,,,,,,,,,,,,,,,0,,,
15,1001055,1936,Cy Blanton,PIT,27,13,15,4.8,3.51,44,32,15,4,3,,235.2,992,235,114,92,9,55,,3,8,0,127,,,,,,,,,,,,4.85,2.1,2.31,8.97,0.34,0.252,1.23,0.283,0.638,3.42,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,79,,0.128,0.055,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.5,-1.8,-1.2,27 - 27,0.073,,,,,,,3.63,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,73,196,91,70,92,87,97,95,148,75,,,,,,,,,,,,,,,,,,0,,,
